index,Airline,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes),Month,Month_num,Passengers_In,Passengers_Out,Port_Country,Year,_id
9957,Emirates,0.0,461.38,0.0,0.0,44013,7,0,0,Hong Kong (SAR),2020,42517
10026,Kalitta Air,0.0,945.484,0.0,0.0,44075,9,0,0,Singapore,2020,42680
10271,Korean Air,9.667,13.148,0.0,0.0,44105,10,34,67,Korea,2020,42761
10289,Air Niugini,136.999,230.266,0.0,0.0,44105,10,693,669,Papua New Guinea,2020,42726
10377,Tasman Cargo Airlines,1257.697,1081.377,0.0,0.0,44136,11,0,0,New Zealand,2020,42872
10480,United Parcel Service,0.0,50.836,0.0,0.0,44075,9,0,0,Singapore,2020,42714
10658,Federal Express Corporation,0.0,13.582,0.0,0.0,44044,8,0,0,Hong Kong (SAR),2020,42596
10936,Air Mauritius,0.304,4.895,0.052000000000000005,0.0,44044,8,25,306,Mauritius,2020,42571
11018,SriLankan Airlines,103.43700000000001,47.331,0.775,0.0,44013,7,0,461,Sri Lanka,2020,42557
11033,Singapore Airlines,5017.5,3056.164,35.861,0.0,44105,10,2760,2403,Singapore,2020,42787
11042,Asiana Airlines,45.667,46.929,0.0,0.0,44136,11,141,546,Korea,2020,42809
11153,Qatar Airways,72.83800000000001,148.814,0.0,0.0,44105,10,809,923,New Zealand,2020,42782
11174,Emirates,3350.9629999999997,1308.542,114.546,134.812,44075,9,1092,5491,United Arab Emirates,2020,42667
11440,Kalitta Air,89.67299999999999,133.039,0.0,0.0,44044,8,0,0,Hong Kong (SAR),2020,42605
11581,United Parcel Service,0.0,65.909,0.0,0.0,44044,8,0,0,Singapore,2020,42641
11632,Qantas Airways,0.0,0,0.0,0.0,44044,8,0,0,Korea,2020,42623
11703,Thai Airways International,61.089,22.303,0.0,0.0,44013,7,0,0,Thailand,2020,42559
12026,Polar Air Cargo,0.0,347.817,0.0,0.0,44044,8,0,0,Korea,2020,42619
12074,Air Niugini,103.699,216.278,0.0,0.0,44136,11,1035,529,Papua New Guinea,2020,42805
12158,Hainan Airlines,94.46799999999999,55.085,0.0,0.0,44136,11,0,0,China,2020,42832
12378,Kalitta Air,1578.605,0,0.0,0.0,44044,8,0,0,USA,2020,42607
12624,Malaysia Airlines,0.0,51.11,0.0,0.0,44136,11,0,0,Indonesia,2020,42840
