Airline,level_1,Freight_In_(tonnes)
Polar Air Cargo,36303,224.36966666666663
Qantas Airways,819,
Qantas Airways,3126,
Qantas Airways,6069,434.58
Qantas Airways,7989,131.93566666666666
Qantas Airways,9948,132.08066666666667
Qantas Airways,13007,230.617
Qantas Airways,15374,141.97733333333335
Qantas Airways,18083,141.83233333333334
Qantas Airways,22323,18.89300000000001
Qantas Airways,22410,282.07700000000006
Qantas Airways,24685,609.8103333333333
Qantas Airways,25564,639.1643333333334
Qantas Airways,27134,632.199
Qantas Airways,28843,414.02399999999994
Qantas Airways,36195,396.24033333333324
Qantas Airways,36419,158.33666666666662
Qantas Airways,38214,51.02333333333329
Qantas Airways,3316,28.173333333333293
Qantas Airways,5980,281.09499999999997
Qantas Airways,11404,420.62833333333333
Qantas Airways,12167,420.606
Qantas Airways,12835,376.95966666666664
Qantas Airways,14332,502.1956666666667
Qantas Airways,22875,503.23566666666665
Qantas Airways,22902,279.86299999999994
Qantas Airways,23658,67.6996666666666
Qantas Airways,23958,68.83833333333327
Qantas Airways,24287,487.1846666666666
Qantas Airways,26937,562.4906666666666
Qantas Airways,29557,610.5876666666666
Qantas Airways,31324,181.0826666666666
Qantas Airways,38684,71.43266666666659
Qantas Airways,39555,111.93999999999993
Qantas Airways,40495,158.57799999999992
Qantas Airways,1077,280.52799999999996
Qantas Airways,3298,334.8396666666667
Qantas Airways,3588,288.1293333333333
Qantas Airways,8825,158.41133333333332
Qantas Airways,9538,548.2203333333332
Qantas Airways,11648,664.7153333333332
Qantas Airways,14006,651.9763333333332
Qantas Airways,14349,117.12033333333322
Qantas Airways,14930,335.6553333333332
Qantas Airways,22089,389.0836666666666
Qantas Airways,25059,394.1499999999999
Qantas Airways,25246,71.16933333333331
Qantas Airways,26052,64.1433333333333
Qantas Airways,30608,361.3499999999999
Qantas Airways,30652,384.8719999999999
Qantas Airways,38460,657.4056666666667
Qantas Airways,39819,355.08500000000004
Qantas Airways,40782,391.5423333333333
Qantas Airways,3346,565.096
Qantas Airways,3504,605.5533333333334
Qantas Airways,5117,773.6066666666667
Qantas Airways,7769,281.117
Qantas Airways,7816,273.8216666666667
Qantas Airways,10711,106.84566666666672
Qantas Airways,10818,157.95700000000005
Qantas Airways,15815,250.80266666666674
Qantas Airways,19450,177.11900000000006
Qantas Airways,29344,129.9543333333334
Qantas Airways,33040,7.11466666666674
Qantas Airways,33513,324.4160000000001
Qantas Airways,35364,321.2300000000001
Qantas Airways,36657,439.90966666666674
Qantas Airways,36829,184.7213333333334
Qantas Airways,37747,510.22466666666674
Qantas Airways,2888,441.85166666666674
Qantas Airways,6811,520.9766666666668
Qantas Airways,7326,725.9570000000002
Qantas Airways,8684,1012.2943333333336
Qantas Airways,11799,878.0373333333337
Qantas Airways,16009,689.7393333333335
Qantas Airways,19918,422.20700000000016
Qantas Airways,20649,464.9373333333335
Qantas Airways,32850,122.0286666666669
Qantas Airways,33333,91.12033333333356
Qantas Airways,38100,294.9256666666668
Qantas Airways,38861,395.94333333333344
Qantas Airways,39747,446.52933333333345
Qantas Airways,41792,193.58933333333349
Qantas Airways,2587,672.8256666666668
Qantas Airways,4675,743.8350000000002
Qantas Airways,5491,744.0233333333335
Qantas Airways,10550,193.64200000000028
Qantas Airways,11329,92.02466666666696
Qantas Airways,13825,91.25966666666694
Qantas Airways,14138,106.62966666666695
Qantas Airways,16380,45.963000000000285
Qantas Airways,17568,129.9710000000003
Qantas Airways,20506,93.31500000000028
Qantas Airways,23388,427.96733333333356
Qantas Airways,25113,446.9643333333336
Qantas Airways,31949,778.001666666667
Qantas Airways,32821,442.6673333333336
Qantas Airways,37202,339.6623333333336
Qantas Airways,38161,218.227666666667
Qantas Airways,39218,288.91366666666704
Qantas Airways,2926,471.9173333333337
Qantas Airways,3932,288.282666666667
Qantas Airways,7412,225.07400000000038
Qantas Airways,8252,42.077000000000375
Qantas Airways,8395,360.73300000000035
Qantas Airways,10374,354.05466666666695
Qantas Airways,12887,405.5610000000003
Qantas Airways,19725,155.69666666666703
Qantas Airways,21054,355.1813333333337
Qantas Airways,26685,388.3770000000004
Qantas Airways,32611,296.69433333333376
Qantas Airways,35507,175.58066666666704
Qantas Airways,37974,792.3986666666669
Qantas Airways,38805,853.2303333333338
Qantas Airways,39523,1122.6323333333337
Qantas Airways,1425,421.1056666666671
Qantas Airways,1772,527.7316666666671
Qantas Airways,6302,543.8540000000005
Qantas Airways,8409,621.3273333333339
Qantas Airways,9456,486.0110000000006
Qantas Airways,10232,164.23600000000056
Qantas Airways,11491,86.76433333333391
Qantas Airways,16510,433.60633333333385
Qantas Airways,21788,1109.1053333333339
Qantas Airways,30849,1205.571333333334
Qantas Airways,32303,815.6286666666674
Qantas Airways,33979,106.66433333333407
Qantas Airways,34594,127.2416666666674
Qantas Airways,34868,354.49400000000077
Qantas Airways,34976,422.5603333333341
Qantas Airways,3203,535.7343333333341
Qantas Airways,8856,308.3323333333341
Qantas Airways,14711,388.4113333333341
Qantas Airways,16104,190.43966666666742
Qantas Airways,16847,203.23266666666737
Qantas Airways,18927,361.32400000000075
Qantas Airways,19313,398.0600000000008
Qantas Airways,19393,384.67466666666746
Qantas Airways,20868,420.0226666666675
Qantas Airways,26102,989.5900000000009
Qantas Airways,31830,1078.297333333334
Qantas Airways,34635,854.1366666666676
Qantas Airways,36327,279.70033333333413
Qantas Airways,36686,190.99300000000076
Qantas Airways,38944,117.5480000000008
Qantas Airways,357,633.0330000000007
Qantas Airways,1005,827.1013333333341
Qantas Airways,1189,843.8100000000009
Qantas Airways,3905,406.5990000000009
Qantas Airways,4632,270.94466666666756
Qantas Airways,5017,292.62300000000084
Qantas Airways,8822,208.6103333333342
Qantas Airways,10586,150.86400000000089
Qantas Airways,17947,466.9983333333342
Qantas Airways,21060,408.62266666666756
Qantas Airways,22626,796.8103333333343
Qantas Airways,26854,430.0393333333343
Qantas Airways,29813,430.0393333333343
Qantas Airways,32966,269.4893333333343
Qantas Airways,34609,228.30533333333426
Qantas Airways,39233,235.28933333333427
Qantas Airways,6079,407.4936666666675
Qantas Airways,7659,407.4936666666675
Qantas Airways,8719,400.5096666666675
Qantas Airways,9985,34.93033333333415
Qantas Airways,11210,35.692666666667485
Qantas Airways,13252,265.74933333333416
Qantas Airways,17893,376.8520000000008
Qantas Airways,27058,417.38066666666754
Qantas Airways,30372,760.2310000000008
Qantas Airways,31458,807.1420000000007
Qantas Airways,31735,831.112333333334
Qantas Airways,37399,372.89333333333406
Qantas Airways,40283,179.94933333333404
Qantas Airways,40401,503.3570000000007
Qantas Airways,40496,455.23500000000064
Qantas Airways,41176,464.7686666666673
Qantas Airways,729,122.48333333333396
Qantas Airways,2090,103.93366666666729
Qantas Airways,3473,443.0733333333339
Qantas Airways,5840,396.6900000000005
Qantas Airways,6931,475.8220000000005
Qantas Airways,17474,349.9770000000005
Qantas Airways,19887,349.97666666666714
Qantas Airways,23248,248.8770000000005
Qantas Airways,23735,72.4063333333338
Qantas Airways,25461,80.96966666666714
Qantas Airways,31086,127.62433333333381
Qantas Airways,36074,82.13166666666716
Qantas Airways,36520,189.0083333333338
Qantas Airways,37653,668.0100000000003
Qantas Airways,39621,668.2010000000004
Qantas Airways,39705,868.0586666666669
Qatar Airways,7931,
Qatar Airways,34889,
Qatar Airways,37293,1307.5046666666667
Qatar Airways,35273,1401.8706666666665
Qatar Airways,28372,1442.6136666666662
Qatar Airways,36605,1367.0489999999993
Qatar Airways,42590,1299.406666666666
Qatar Airways,15608,1276.3676666666659
Qatar Airways,40348,1219.2513333333327
Qatar Airways,3653,1269.133666666666
Qatar Airways,34526,1277.4753333333326
Qatar Airways,22288,1246.9266666666658
Royal Brunei Airlines,5010,
Royal Brunei Airlines,10619,
Royal Brunei Airlines,25290,228.52166666666665
Royal Brunei Airlines,37037,229.12233333333333
Royal Brunei Airlines,32277,220.73766666666666
Royal Brunei Airlines,24711,225.864
Royal Brunei Airlines,20047,226.70199999999997
Royal Brunei Airlines,9025,238.83066666666664
Royal Brunei Airlines,23157,228.84233333333336
Royal Brunei Airlines,22490,227.84900000000002
Royal Brunei Airlines,38574,196.596
Royal Brunei Airlines,8005,184.9753333333333
Samoa Airways,20374,
Samoa Airways,23752,
Samoa Airways,250,0.0
Samoa Airways,28041,0.09466666666666666
Samoa Airways,28418,0.17466666666666666
Samoa Airways,33731,0.3703333333333334
Samoa Airways,33109,0.40466666666666673
Samoa Airways,3778,0.5166666666666667
Samoa Airways,10773,0.34800000000000003
Samoa Airways,17918,0.219
Scoot Tigerair,34452,
Scoot Tigerair,37990,
Scoot Tigerair,10341,466.137
Scoot Tigerair,27027,442.4356666666667
Scoot Tigerair,7181,405.89166666666665
Scoot Tigerair,23506,361.31199999999995
Scoot Tigerair,15685,394.0693333333333
Scoot Tigerair,32400,445.2083333333333
Scoot Tigerair,40378,408.141
Scoot Tigerair,30192,459.64933333333335
Scoot Tigerair,13499,463.5626666666667
Scoot Tigerair,16801,450.85300000000007
Sichuan Airlines,35822,
Sichuan Airlines,15555,
Sichuan Airlines,37973,102.80799999999999
Sichuan Airlines,5904,104.77066666666666
Sichuan Airlines,28946,91.83266666666664
Sichuan Airlines,34211,77.44066666666664
Sichuan Airlines,1971,79.09399999999998
Sichuan Airlines,31444,76.87666666666662
Sichuan Airlines,13934,79.93466666666662
Sichuan Airlines,9183,70.70333333333329
Sichuan Airlines,35035,76.10666666666664
Sichuan Airlines,38970,77.27733333333332
Silk Air,28137,
Silk Air,8278,
Silk Air,30359,25.389
Silk Air,22403,26.070333333333338
Silk Air,36028,24.95533333333334
Silk Air,443,23.38666666666667
Silk Air,17417,24.698666666666668
Silk Air,25332,24.560333333333336
Silk Air,10310,23.285333333333337
Silk Air,21370,20.736666666666675
Silk Air,21164,19.468666666666675
Silk Air,41473,19.12866666666667
Singapore Airlines,14918,
Singapore Airlines,39645,
Singapore Airlines,9622,2258.757333333333
Singapore Airlines,15637,2143.711666666666
Singapore Airlines,15225,4454.085666666666
Singapore Airlines,15817,4471.078333333333
Singapore Airlines,4635,2551.691666666666
Singapore Airlines,21113,2527.3689999999997
Singapore Airlines,26104,5012.69
Singapore Airlines,31470,5030.454999999999
Singapore Airlines,1099,5210.980999999999
Singapore Airlines,1507,2726.2826666666665
Singapore Airlines,6311,5348.384666666667
Singapore Airlines,14367,2848.1810000000005
Singapore Airlines,23172,5481.016333333334
Singapore Airlines,25333,2841.6863333333336
Singapore Airlines,6217,2883.001666666667
Singapore Airlines,8853,2773.6620000000003
Singapore Airlines,6051,2827.5326666666665
Singapore Airlines,13614,5276.4873333333335
Singapore Airlines,6540,2755.644333333333
Singapore Airlines,9550,5362.3820000000005
Singapore Airlines,4296,5170.164333333334
Singapore Airlines,25328,5174.56
Solomon Airlines,40580,
Solomon Airlines,4939,
Solomon Airlines,4338,5.876
Solomon Airlines,24101,4.991333333333333
Solomon Airlines,23465,5.164666666666667
Solomon Airlines,7211,5.620333333333334
Solomon Airlines,24624,4.6723333333333334
Solomon Airlines,35058,6.140666666666667
Solomon Airlines,32932,4.765000000000001
Solomon Airlines,6996,6.123333333333335
Solomon Airlines,35034,4.545666666666668
Solomon Airlines,21419,3.906000000000001
South African Airways,13054,
South African Airways,30053,
South African Airways,31789,92.66433333333333
South African Airways,16636,87.42266666666666
South African Airways,9855,102.30566666666668
South African Airways,28102,94.45033333333333
South African Airways,40349,98.36066666666666
South African Airways,29233,103.21633333333334
South African Airways,15952,113.06633333333332
South African Airways,3009,117.13099999999999
South African Airways,35347,104.05733333333335
South African Airways,4684,98.35933333333334
SriLankan Airlines,19834,
SriLankan Airlines,37109,
SriLankan Airlines,8571,182.2733333333333
SriLankan Airlines,10056,201.02499999999998
SriLankan Airlines,35812,201.98666666666665
SriLankan Airlines,10346,186.77266666666665
SriLankan Airlines,35653,195.189
SriLankan Airlines,7203,218.19866666666667
SriLankan Airlines,10117,248.896
SriLankan Airlines,6757,261.787
SriLankan Airlines,700,260.638
SriLankan Airlines,35061,248.20666666666668
Tasman Cargo Airlines,8502,
Tasman Cargo Airlines,11005,
Tasman Cargo Airlines,40718,386.2366666666667
Tasman Cargo Airlines,6780,379.33133333333336
Tasman Cargo Airlines,10493,376.50800000000004
Tasman Cargo Airlines,31571,322.77000000000004
Tasman Cargo Airlines,5490,357.7476666666667
Tasman Cargo Airlines,32012,427.07666666666677
Tasman Cargo Airlines,19020,478.3030000000001
Tasman Cargo Airlines,16469,505.95333333333343
Tasman Cargo Airlines,33036,511.0796666666668
Tasman Cargo Airlines,39585,558.2900000000002
Thai Airways International,16488,
Thai Airways International,24656,
Thai Airways International,42553,1314.8203333333333
Thai Airways International,9431,1364.9526666666668
Thai Airways International,17463,1445.8890000000001
Thai Airways International,939,1412.9333333333336
Thai Airways International,17775,1479.5143333333335
Thai Airways International,13053,1508.196
Thai Airways International,28324,1542.3076666666664
Thai Airways International,19815,1602.807333333333
Thai Airways International,40339,1494.4496666666662
Thai Airways International,33607,1374.3646666666662
Tianjin Airlines,10069,
Tianjin Airlines,23203,
Tianjin Airlines,37907,28.76533333333333
Tianjin Airlines,40024,46.019
Tianjin Airlines,8453,53.45733333333333
Tianjin Airlines,33005,102.29033333333335
Tianjin Airlines,10092,135.77133333333336
Tianjin Airlines,15137,192.34133333333338
Tianjin Airlines,12395,197.40233333333336
Tianjin Airlines,12608,219.7786666666667
Tianjin Airlines,30758,212.554
Tianjin Airlines,35563,250.68700000000004
United Airlines,18070,
United Airlines,19329,
United Airlines,32385,507.55333333333334
United Airlines,16124,515.1313333333334
United Airlines,6322,576.5843333333333
United Airlines,15552,635.607
United Airlines,11744,750.9176666666667
United Airlines,40848,756.9119999999999
United Airlines,29337,689.875
United Airlines,17692,618.0959999999999
United Airlines,37268,568.6809999999999
United Airlines,25027,544.4829999999998
United Parcel Service,6245,
United Parcel Service,9651,
United Parcel Service,35939,497.1566666666667
United Parcel Service,37782,497.1566666666667
United Parcel Service,1997,523.42
United Parcel Service,6253,523.42
United Parcel Service,6506,523.42
United Parcel Service,14600,0.0
United Parcel Service,17247,0.0
United Parcel Service,20565,0.0
United Parcel Service,24719,0.0
United Parcel Service,30468,585.1423333333333
United Parcel Service,38311,585.1423333333333
United Parcel Service,3188,1171.259
United Parcel Service,7368,586.1166666666667
United Parcel Service,13832,586.1166666666667
United Parcel Service,24992,0.0
United Parcel Service,40080,0.0
United Parcel Service,8650,0.0
United Parcel Service,9349,677.9333333333333
United Parcel Service,18116,677.9333333333333
United Parcel Service,32967,677.9333333333333
United Parcel Service,11633,0.0
United Parcel Service,33900,0.0
United Parcel Service,37343,0.0
United Parcel Service,38188,612.3753333333333
United Parcel Service,9843,612.3753333333333
United Parcel Service,9878,612.3753333333333
United Parcel Service,15049,545.38
United Parcel Service,22753,545.38
United Parcel Service,13390,545.38
United Parcel Service,23257,598.772
United Parcel Service,25358,598.772
United Parcel Service,26031,598.772
United Parcel Service,1811,0.0
United Parcel Service,2368,0.0
United Parcel Service,26210,573.3123333333334
United Parcel Service,34520,573.3123333333334
United Parcel Service,6063,573.3123333333334
United Parcel Service,13640,0.0
United Parcel Service,31673,646.912
United Parcel Service,38613,646.912
United Parcel Service,8711,1129.263
United Parcel Service,19350,482.3509999999999
United Parcel Service,34697,482.3509999999999
United Parcel Service,38858,0.0
United Parcel Service,5115,468.3256666666666
United Parcel Service,28460,468.3256666666666
United Parcel Service,29554,468.3256666666666
United Parcel Service,32670,0.0
Vietnam Airlines,11350,
Vietnam Airlines,11133,
Vietnam Airlines,5699,809.3293333333335
Vietnam Airlines,18978,876.9123333333333
Vietnam Airlines,39134,894.4056666666665
Vietnam Airlines,15343,902.7003333333332
Vietnam Airlines,2574,880.0663333333332
Vietnam Airlines,4058,896.2533333333332
Vietnam Airlines,21011,936.7646666666666
Vietnam Airlines,1117,942.6476666666666
Vietnam Airlines,19772,930.603
Vietnam Airlines,17780,859.6213333333334
Virgin Australia,1746,
Virgin Australia,8081,
Virgin Australia,9019,201.32866666666666
Virgin Australia,12755,201.79033333333334
Virgin Australia,12933,83.21799999999998
Virgin Australia,23529,19.562666666666633
Virgin Australia,23827,19.27999999999997
Virgin Australia,29976,19.083999999999968
Virgin Australia,36103,24.148999999999962
Virgin Australia,40666,43.2703333333333
Virgin Australia,177,186.3923333333333
Virgin Australia,13477,162.93699999999998
Virgin Australia,24661,150.0503333333333
Virgin Australia,32575,60.90699999999996
Virgin Australia,32646,72.72066666666663
Virgin Australia,34228,66.25566666666663
Virgin Australia,35222,30.776333333333287
Virgin Australia,35370,18.49933333333329
Virgin Australia,37078,18.49933333333329
Virgin Australia,39072,0.19999999999995546
Virgin Australia,30,0.19999999999995546
Virgin Australia,444,1.021666666666622
Virgin Australia,3231,7.643666666666621
Virgin Australia,6275,173.07433333333327
Virgin Australia,6873,195.54199999999994
Virgin Australia,7182,188.71999999999994
Virgin Australia,8093,23.48466666666663
Virgin Australia,10671,0.21366666666663528
Virgin Australia,29083,16.4483333333333
Virgin Australia,34525,111.2863333333333
Virgin Australia,3216,111.26799999999997
Virgin Australia,11465,95.20499999999997
Virgin Australia,13803,0.41333333333329847
Virgin Australia,15179,90.87099999999997
Virgin Australia,21225,98.38899999999997
Virgin Australia,21692,122.50766666666664
Virgin Australia,22507,213.638
Virgin Australia,23365,223.13133333333334
Virgin Australia,25058,199.18266666666668
Virgin Australia,30341,17.594666666666665
Virgin Australia,5289,0.5409999999999968
Virgin Australia,13959,179.9933333333333
Virgin Australia,16341,277.78933333333333
Virgin Australia,18353,277.65999999999997
Virgin Australia,19078,117.6393333333333
Virgin Australia,21004,44.008666666666635
Virgin Australia,21886,44.69466666666663
Virgin Australia,23346,25.097333333333296
Virgin Australia,36917,0.9319999999999595
Virgin Australia,38163,9.432666666666625
Virgin Australia,624,15.869666666666626
Virgin Australia,4549,103.91999999999996
Virgin Australia,9544,95.09399999999995
Virgin Australia,11364,88.7273333333333
Virgin Australia,13947,0.6769999999999641
Virgin Australia,19876,0.3163333333332974
Virgin Australia,20115,18.09766666666663
Virgin Australia,25509,38.21666666666663
Virgin Australia,32571,38.509333333333295
Virgin Australia,35672,281.93399999999997
Virgin Australia,1923,415.22299999999996
Virgin Australia,3107,437.5903333333333
Virgin Australia,15041,176.62299999999996
Virgin Australia,17959,23.72599999999998
Virgin Australia,18539,20.564999999999984
Virgin Australia,27037,20.009999999999984
Virgin Australia,32946,320.787
Virgin Australia,34636,301.28799999999995
Virgin Australia,37893,308.465
Virgin Australia,40406,7.593999999999975
Virgin Australia,5670,7.593999999999975
Virgin Australia,8815,0.9839999999999757
Virgin Australia,18829,28.157999999999973
Virgin Australia,27682,397.88533333333334
Virgin Australia,29408,402.72566666666665
Virgin Australia,30434,376.1863333333333
Virgin Australia,32635,176.78866666666667
Virgin Australia,35104,193.67600000000002
Virgin Australia,37248,192.62433333333334
Virgin Australia,42300,23.235000000000014
Virgin Australia,14568,6.3110000000000115
Virgin Australia,18682,25.677333333333348
Virgin Australia,20897,25.39366666666668
Virgin Australia,27564,20.023000000000014
Virgin Australia,29268,13.773333333333348
Virgin Australia,30658,173.619
Virgin Australia,31628,173.619
Virgin Australia,32491,160.84533333333331
Virgin Australia,35636,0.5273333333333312
Virgin Australia,42529,257.748
Virgin Australia,4614,257.483
Virgin Australia,6419,276.34633333333335
Virgin Australia,8114,203.85133333333332
Virgin Australia,8602,203.7733333333333
Virgin Australia,11707,396.3403333333333
Virgin Australia,13459,249.8233333333333
Virgin Australia,17136,252.3173333333333
Virgin Australia,17204,64.24433333333327
Virgin Australia,23222,26.03566666666661
Virgin Australia,30549,24.113666666666607
Virgin Australia,1252,0.5719999999999411
Virgin Australia,8796,0.5719999999999411
Virgin Australia,9288,0.17199999999994117
Virgin Australia,14478,1.2833333333332744
Virgin Australia,16223,2.1733333333332743
Virgin Australia,16609,195.5173333333333
Virgin Australia,21456,229.32899999999998
Virgin Australia,25015,268.671
Virgin Australia,27450,85.09566666666667
Virgin Australia,29979,259.7053333333334
Virgin Australia,3994,238.46833333333336
Virgin Australia,7647,228.5276666666667
Virgin Australia,12607,221.241
Virgin Australia,15719,207.19000000000003
Virgin Australia,19601,207.50566666666668
Virgin Australia,20717,168.61833333333334
Virgin Australia,22440,163.67433333333335
Virgin Australia,28732,163.70766666666668
Virgin Australia,37330,1.712000000000027
Virgin Australia,40483,42.346000000000025
Xiamen Airlines,35881,
Xiamen Airlines,3998,
Xiamen Airlines,17401,352.4750000000001
Xiamen Airlines,37277,381.6966666666667
Xiamen Airlines,13448,458.98066666666676
Xiamen Airlines,14389,461.4870000000001
Xiamen Airlines,26733,485.74500000000006
Xiamen Airlines,35290,485.942
Xiamen Airlines,12521,493.62600000000003
Xiamen Airlines,29818,457.8633333333334
Xiamen Airlines,28061,468.73966666666666
Xiamen Airlines,23975,460.4883333333333
