Airline,level_1,Freight_In_(tonnes)
Air New Zealand,16675,744.0943333333338
Air New Zealand,33021,1545.8133333333337
Air New Zealand,1806,1573.5530000000006
Air New Zealand,30210,1573.554666666667
Air New Zealand,23046,771.651666666667
Air New Zealand,25572,945.7730000000005
Air Niugini,6186,
Air Niugini,4950,
Air Niugini,42180,43.318999999999996
Air Niugini,35423,35.57866666666667
Air Niugini,30512,32.82633333333334
Air Niugini,18243,34.51066666666667
Air Niugini,37461,32.69133333333334
Air Niugini,40524,32.53066666666667
Air Niugini,36308,29.459000000000003
Air Niugini,37155,31.251333333333335
Air Niugini,34727,36.762
Air Niugini,32279,43.73733333333334
Air Vanuatu,42362,
Air Vanuatu,4394,
Air Vanuatu,21094,3.692333333333334
Air Vanuatu,20850,4.560666666666667
Air Vanuatu,23009,4.920333333333333
Air Vanuatu,39513,4.196333333333333
Air Vanuatu,39599,3.3476666666666666
Air Vanuatu,6064,2.9963333333333337
Air Vanuatu,9990,3.1653333333333333
Air Vanuatu,38640,3.978
Air Vanuatu,4964,4.749666666666667
Air Vanuatu,38270,4.09
AirAsia X,10767,
AirAsia X,22016,
AirAsia X,4981,284.59433333333334
AirAsia X,37533,194.05300000000003
AirAsia X,6737,502.9833333333334
AirAsia X,36391,519.0643333333334
AirAsia X,5844,360.8573333333334
AirAsia X,37145,414.4873333333333
AirAsia X,13532,777.0190000000001
AirAsia X,41534,797.0880000000001
AirAsia X,12182,472.2296666666668
AirAsia X,20704,494.09733333333344
AirAsia X,5037,471.5466666666668
AirAsia X,16021,769.974
AirAsia X,24458,369.3413333333333
AirAsia X,38849,767.1840000000001
AirAsia X,2119,431.0546666666667
AirAsia X,3551,827.2986666666667
AirAsia X,15397,401.26433333333347
AirAsia X,22510,757.5773333333333
AirAsia X,896,802.5659999999999
AirAsia X,21629,798.2816666666666
AirAsia X,17365,441.96866666666665
AirAsia X,41957,347.88599999999997
All Nippon Airways,27714,
All Nippon Airways,34271,
All Nippon Airways,5940,298.145
All Nippon Airways,1479,298.0743333333334
All Nippon Airways,4566,309.4370000000001
All Nippon Airways,40185,360.78066666666683
All Nippon Airways,38153,384.4310000000002
All Nippon Airways,31191,442.04133333333357
All Nippon Airways,21013,457.11933333333354
All Nippon Airways,1774,462.0276666666669
All Nippon Airways,40773,448.2003333333336
All Nippon Airways,13073,441.16400000000027
American Airlines,36868,
American Airlines,781,
American Airlines,16170,7.293333333333334
American Airlines,31988,13.384666666666668
American Airlines,14074,30.472333333333335
American Airlines,5023,37.077666666666666
American Airlines,5471,29.304333333333336
American Airlines,24847,64.27566666666667
American Airlines,16571,71.139
American Airlines,27526,72.20733333333334
American Airlines,41193,19.83266666666667
American Airlines,12923,5.2060000000000075
Asiana Airlines,40475,
Asiana Airlines,26116,
Asiana Airlines,39631,193.94833333333335
Asiana Airlines,36067,201.07933333333332
Asiana Airlines,5259,202.88033333333328
Asiana Airlines,34583,187.2353333333333
Asiana Airlines,31273,178.02366666666663
Asiana Airlines,23246,166.10999999999999
Asiana Airlines,8229,169.99866666666662
Asiana Airlines,12127,164.67733333333328
Asiana Airlines,34396,176.04033333333328
Asiana Airlines,28006,163.2566666666666
Batik Air Indonesia,12726,
Batik Air Indonesia,8146,
Batik Air Indonesia,41016,0.0
Batik Air Indonesia,36369,0.0
Batik Air Indonesia,13265,0.0
Batik Air Indonesia,19173,0.0
Batik Air Indonesia,33924,0.0
Batik Air Indonesia,41513,0.0
Batik Air Indonesia,18293,0.0
Batik Air Indonesia,16275,0.0
Batik Air Indonesia,16822,0.0
Batik Air Indonesia,21716,0.0
Beijing Capital Airlines,14047,
Beijing Capital Airlines,5024,
Beijing Capital Airlines,12212,216.30966666666666
Beijing Capital Airlines,31885,184.59966666666665
Beijing Capital Airlines,23990,218.97400000000002
